Id,Name,Description,Category,Price,Rarity,View_count,Purchase_count,Stock,AverageRating,RatingCount
1,Playmobil Bordspel,Leuk en interactief bordspel voor het hele gezin.,Speelgoed,151.61,Common,450,23,23,4.2,15
2,Nintendo Muismat XL,Extra grote muismat met comfortabele grip.,Elektronica,417.36,Rare,1200,322,322,4.8,42
3,Shell Ruitenwisser set,Hoge kwaliteit ruitenwissers voor perfect zicht.,Auto,247.75,Common,890,145,335,4.1,28
4,Reebok Hardloopschoenen,Comfortabele hardloopschoenen met demping.,Kleding,180.0,Common,2100,490,490,4.5,88
5,Yamaha Microfoon,Professionele microfoon voor helder geluid.,Audio,252.94,Epic,640,112,434,4.6,31
6,De Bezige Bij Kinderboek,Spannend en leerzaam kinderboek.,Boeken,987.94,Legendary,150,12,304,4.9,9
7,Gibson Microfoon,Studio-kwaliteit microfoon voor zang en instrumenten.,Audio,448.67,Rare,530,45,81,4.4,14
8,Razer Gaming muis,Ultrasnelle gaming muis met RGB verlichting.,Elektronica,753.01,Epic,3400,612,430,4.7,124
9,Fujifilm Statief,Stabiel en lichtgewicht statief voor camera's.,Fotografie,278.21,Common,410,39,39,4.0,11
10,KitchenAid Blender,Krachtige blender voor smoothies en soepen.,Keuken,323.1,Rare,1800,276,276,4.6,67
11,Uitgeverij Podium Kookboek,Inspirerende recepten van topchefs.,Boeken,695.47,Rare,920,180,361,4.3,34
12,Eukanuba Kattenbak,Ruime en eenvoudig te reinigen kattenbak.,Huisdieren,544.89,Common,310,45,212,3.9,8
13,Eukanuba Speeltje,Uitdagend speeltje voor urenlang speelplezier.,Huisdieren,946.32,Legendary,500,10,10,4.8,5
14,Esselte Pennenhouder,Strakke pennenhouder voor een georganiseerd bureau.,Kantoor,10.86,Common,1500,450,180,4.2,53
15,Shell Carwash set,Complete set voor een glanzend schone auto.,Auto,748.77,Epic,730,89,279,4.5,22
16,Tefal Koffiezetapparaat,Zet heerlijke verse koffie in een handomdraai.,Keuken,276.56,Common,2400,512,248,4.4,91
17,Etos Shampoo,Verzorgende shampoo voor dagelijks gebruik.,Verzorging,841.29,Rare,1100,230,470,4.1,40
18,Philips Avent Luiertas,Handige en ruime tas voor alle babyspullen.,Baby,593.92,Rare,620,114,339,4.5,19
19,Pedigree Hondenmand,Comfortabele en zachte mand voor je hond.,Huisdieren,185.81,Common,840,133,133,4.3,27
20,Karcher Plantenpot,Duurzame plantenpot voor binnen en buiten.,Tuin,340.8,Common,910,210,450,4.0,16
21,Whiskas Hondenvoer,Voedzaam voer voor een gezonde hond.,Huisdieren,472.95,Common,1300,383,383,4.2,49
22,Davitamon Multivitamine,Dagelijkse aanvulling van vitaminen en mineralen.,Gezondheid,782.32,Rare,1600,420,333,4.6,73
23,Samsung Bluetooth speaker,Draagbare speaker met diepe bas.,Audio,840.02,Epic,4200,815,318,4.7,210
24,De Bezige Bij Roman,Meeslepende roman van een bekende auteur.,Boeken,566.14,Rare,480,95,111,4.4,18
25,Riviera Maison Boekenkast,Stijlvolle houten kast voor je boekenverzameling.,Meubels,607.85,Epic,340,43,493,4.8,12
